Brand,Name,Codename,Cores,Clock,Socket,Process,L3Cache,TDP,Released
Intel,Xeon X5550,Gainestown,4 / 8,2.666 to 3.066 GHz,Socket 1366,45 nm,8MB,95 W,"Mar 30th, 2009"
Intel,Xeon X5560,Gainestown,4 / 8,2.8 to 3.2 GHz,Socket 1366,45 nm,8MB,95 W,"Mar 30th, 2009"
Intel,Xeon X5570,Gainestown,4 / 8,2.933 to 3.333 GHz,Socket 1366,45 nm,8MB,95 W,"Mar 30th, 2009"
Intel,Atom D410,Pineview,1 / 2,1667 MHz,BGA 437,45 nm,N/A,10 W,"Jan 4th, 2010"
Intel,Atom D425,Pineview,1 / 2,1834 MHz,BGA 437,45 nm,N/A,10 W,"Jun 21st, 2010"
Intel,Atom D525,Pineview,2 / 4,1834 MHz,BGA 437,45 nm,N/A,13 W,"Jun 21st, 2010"
Intel,Atom E620,Tunnel Creek,1 / 2,600 MHz,BGA 676,45 nm,N/A,3 W,"Sep 14th, 2010"
Intel,Atom E620T,Tunnel Creek,1 / 2,600 MHz,BGA 676,45 nm,N/A,3 W,"Sep 14th, 2010"
Intel,Atom E625C,Stellarton,1 / 2,600 MHz,BGA 1466,45 nm,N/A,3 W,"Nov 22nd, 2010"
Intel,Atom E625CT,Stellarton,1 / 2,600 MHz,BGA 1466,45 nm,N/A,3 W,"Nov 22nd, 2010"
Intel,Atom E640,Tunnel Creek,1 / 2,1000 MHz,BGA 676,45 nm,N/A,3 W,"Sep 14th, 2010"
Intel,Atom E640T,Tunnel Creek,1 / 2,1000 MHz,BGA 676,45 nm,N/A,3 W,"Sep 14th, 2010"
Intel,Atom E645C,Stellarton,1 / 2,1000 MHz,BGA 1466,45 nm,N/A,4 W,"Nov 22nd, 2010"
Intel,Atom E645CT,Stellarton,1 / 2,1000 MHz,BGA 1466,45 nm,N/A,4 W,"Nov 22nd, 2010"
